Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
81.0,62675870,132,474817.2,1658.5,972,1722253,504860.9,cudaEventSynchronize
6.1,4751468,1547,3071.4,2635.0,1583,29195,1464.2,cudaMemcpyAsync
5.7,4435056,1475,3006.8,2725.0,2024,16080,1116.4,cudaLaunchKernel
2.1,1619771,63,25710.7,21010.0,20620,269442,31678.9,cudaGraphLaunch_v10000
1.4,1105286,421,2625.4,2464.0,1944,28294,1358.6,cuLaunchKernelEx
1.0,746102,290,2572.8,1433.0,370,305851,17885.9,cudaEventRecordWithFlags_v11010
0.9,734023,294,2496.7,2375.0,1943,10771,668.6,cuLaunchKernel
0.4,288395,1295,222.7,180.0,120,4088,149.3,cudaStreamIsCapturing_v10000
0.3,247323,65,3805.0,3657.0,3467,8947,786.4,cudaMemsetAsync
0.2,173102,1475,117.4,81.0,60,731,83.4,cuKernelGetName
0.2,165558,156,1061.3,871.5,281,3627,510.6,cudaEventQuery
0.1,105971,36,2943.6,2850.5,2454,6512,644.0,cudaLaunchKernelExC_v11060
0.1,103455,65,1591.6,1503.0,1403,4639,460.3,cudaStreamWaitEvent
0.1,84629,130,651.0,656.5,260,2004,362.5,cudaEventCreateWithFlags
0.1,77329,130,594.8,601.0,340,1202,131.5,cudaEventDestroy
0.1,48544,100,485.4,471.0,270,2023,218.2,cuKernelGetFunction
0.0,18916,1,18916.0,18916.0,18916,18916,0.0,cudaDeviceSynchronize
0.0,10019,1,10019.0,10019.0,10019,10019,0.0,cuProfilerStart
