Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
81.4,308082550,775,397525.9,2414.0,821,1518713,414812.7,cudaEventSynchronize
6.9,26171088,8982,2913.7,2535.0,1493,126262,1854.7,cudaMemcpyAsync
5.3,20059846,6444,3112.9,2766.0,2054,48503,1372.6,cudaLaunchKernel
2.1,7953963,378,21042.2,20509.0,19337,66978,3506.7,cudaGraphLaunch_v10000
1.1,4213238,1621,2599.2,1432.0,320,1145609,30175.2,cudaEventRecordWithFlags_v11010
0.9,3539143,1398,2531.6,2425.0,1904,17934,704.9,cuLaunchKernelEx
0.5,1735056,690,2514.6,2385.0,1974,8847,594.8,cuLaunchKernel
0.4,1638850,7465,219.5,170.0,130,1743,102.1,cudaStreamIsCapturing_v10000
0.4,1427401,384,3717.2,3616.5,3377,10831,607.6,cudaMemsetAsync
0.2,858816,839,1023.6,801.0,280,6372,528.2,cudaEventQuery
0.2,820220,6444,127.3,90.0,60,20509,265.5,cuKernelGetName
0.2,669438,768,871.7,862.0,261,106854,3851.6,cudaEventCreateWithFlags
0.2,612534,384,1595.1,1563.0,1393,4689,198.1,cudaStreamWaitEvent
0.1,441754,768,575.2,581.0,311,1533,140.8,cudaEventDestroy
0.1,314778,108,2914.6,2790.0,2434,5891,532.6,cudaLaunchKernelExC_v11060
0.0,39428,108,365.1,310.0,240,1603,195.9,cuKernelGetFunction
0.0,15740,1,15740.0,15740.0,15740,15740,0.0,cudaDeviceSynchronize
0.0,7304,1,7304.0,7304.0,7304,7304,0.0,cuProfilerStart
